model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.2,0.0012,0.15,0,1,0.9202970508192672
LSPIN,lspin_tf,0.2,0.0012,0.15,0,2,0.8610458168736108
LSPIN,lspin_tf,0.2,0.0012,0.15,1,2,0.8518967021400371
LSPIN,lspin_tf,0.2,0.0009,0.15,0,1,0.7089667818432785
LSPIN,lspin_tf,0.2,0.0009,0.15,0,2,0.5826793168993428
LSPIN,lspin_tf,0.2,0.0009,0.15,1,2,0.7477518298642277
LSPIN,lspin_tf,0.2,0.0007,0.15,0,1,0.8205097094658106
LSPIN,lspin_tf,0.2,0.0007,0.15,0,2,0.8137620329688687
LSPIN,lspin_tf,0.2,0.0007,0.15,1,2,0.7871566476000212
LSPIN,lspin_tf,0.2,0.0006,0.15,0,1,0.8775979483684376
LSPIN,lspin_tf,0.2,0.0006,0.15,0,2,0.854532886427481
LSPIN,lspin_tf,0.2,0.0006,0.15,1,2,0.8887713207462601
LSPIN,lspin_tf,0.2,0.0005,0.15,0,1,0.8206975084109178
LSPIN,lspin_tf,0.2,0.0005,0.15,0,2,0.6952238093287995
LSPIN,lspin_tf,0.2,0.0005,0.15,1,2,0.9091175084383936
LSPIN,lspin_tf,0.17,0.0012,0.15,0,1,0.7112013515969293
LSPIN,lspin_tf,0.17,0.0012,0.15,0,2,0.7603107395565329
LSPIN,lspin_tf,0.17,0.0012,0.15,1,2,0.6108705225054243
LSPIN,lspin_tf,0.17,0.0009,0.15,0,1,0.7700549650499535
LSPIN,lspin_tf,0.17,0.0009,0.15,0,2,0.8296898997108041
LSPIN,lspin_tf,0.17,0.0009,0.15,1,2,0.8708742282034263
LSPIN,lspin_tf,0.17,0.0007,0.15,0,1,0.6086209784543364
LSPIN,lspin_tf,0.17,0.0007,0.15,0,2,0.6941188257885952
LSPIN,lspin_tf,0.17,0.0007,0.15,1,2,0.7455072531221884
LSPIN,lspin_tf,0.17,0.0006,0.15,0,1,0.9119885523292666
LSPIN,lspin_tf,0.17,0.0006,0.15,0,2,0.819365973412265
LSPIN,lspin_tf,0.17,0.0006,0.15,1,2,0.8175682755861873
LSPIN,lspin_tf,0.17,0.0005,0.15,0,1,0.8677939785008815
LSPIN,lspin_tf,0.17,0.0005,0.15,0,2,0.8495946546323769
LSPIN,lspin_tf,0.17,0.0005,0.15,1,2,0.914849727636006
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,1,0.5034174034739529
L-LSPIN,lspin_tf,0.2,0.0025,0.15,0,2,0.4856671816404903
L-LSPIN,lspin_tf,0.2,0.0025,0.15,1,2,0.5498793490943863
L-LSPIN,lspin_tf,0.2,0.0018,0.15,0,1,0.5723313256024037
L-LSPIN,lspin_tf,0.2,0.0018,0.15,0,2,0.7835613398588333
L-LSPIN,lspin_tf,0.2,0.0018,0.15,1,2,0.6299530960098428
L-LSPIN,lspin_tf,0.2,0.0014,0.15,0,1,0.6953668314619086
L-LSPIN,lspin_tf,0.2,0.0014,0.15,0,2,0.7080862400738743
L-LSPIN,lspin_tf,0.2,0.0014,0.15,1,2,0.6162793009694439
L-LSPIN,lspin_tf,0.2,0.0011,0.15,0,1,0.709564568844438
L-LSPIN,lspin_tf,0.2,0.0011,0.15,0,2,0.7052545171708102
L-LSPIN,lspin_tf,0.2,0.0011,0.15,1,2,0.608610848245257
L-LSPIN,lspin_tf,0.2,0.0009,0.15,0,1,0.724606607974109
L-LSPIN,lspin_tf,0.2,0.0009,0.15,0,2,0.6702575960024438
L-LSPIN,lspin_tf,0.2,0.0009,0.15,1,2,0.8802699090525629
L-LSPIN,lspin_tf,0.17,0.0025,0.15,0,1,0.7349304618155484
L-LSPIN,lspin_tf,0.17,0.0025,0.15,0,2,0.6788681230378841
L-LSPIN,lspin_tf,0.17,0.0025,0.15,1,2,0.7402572841865128
L-LSPIN,lspin_tf,0.17,0.0018,0.15,0,1,0.8262525279759809
L-LSPIN,lspin_tf,0.17,0.0018,0.15,0,2,0.7879679825364707
L-LSPIN,lspin_tf,0.17,0.0018,0.15,1,2,0.6635196997898646
L-LSPIN,lspin_tf,0.17,0.0014,0.15,0,1,0.6438283580023559
L-LSPIN,lspin_tf,0.17,0.0014,0.15,0,2,0.6872119862013307
L-LSPIN,lspin_tf,0.17,0.0014,0.15,1,2,0.8491150075648649
L-LSPIN,lspin_tf,0.17,0.0011,0.15,0,1,0.7884695665478042
L-LSPIN,lspin_tf,0.17,0.0011,0.15,0,2,0.7720063808848413
L-LSPIN,lspin_tf,0.17,0.0011,0.15,1,2,0.8213027234624151
L-LSPIN,lspin_tf,0.17,0.0009,0.15,0,1,0.7768252288466234
L-LSPIN,lspin_tf,0.17,0.0009,0.15,0,2,0.8060641921807407
L-LSPIN,lspin_tf,0.17,0.0009,0.15,1,2,0.8349173075628392
Concrete,concrete,0.15,0.002,0.15,0,1,0.7316831930040075
Concrete,concrete,0.15,0.002,0.15,0,2,0.7548417367042679
Concrete,concrete,0.15,0.002,0.15,1,2,0.784268158884657
Concrete,concrete,0.15,0.0017,0.15,0,1,0.7243090992638184
Concrete,concrete,0.15,0.0017,0.15,0,2,0.7167183645901687
Concrete,concrete,0.15,0.0017,0.15,1,2,0.7020071576192969
Concrete,concrete,0.15,0.0014,0.15,0,1,0.7504780582892928
Concrete,concrete,0.15,0.0014,0.15,0,2,0.6792676203502026
Concrete,concrete,0.15,0.0014,0.15,1,2,0.8632630359288432
Concrete,concrete,0.15,0.0012,0.15,0,1,0.697151695932188
Concrete,concrete,0.15,0.0012,0.15,0,2,0.7101146339822325
Concrete,concrete,0.15,0.0012,0.15,1,2,0.8293916633630709
Concrete,concrete,0.15,0.001,0.15,0,1,0.7868981511853648
Concrete,concrete,0.15,0.001,0.15,0,2,0.7348945114328592
Concrete,concrete,0.15,0.001,0.15,1,2,0.7410620270017998
Concrete,concrete,0.12,0.002,0.15,0,1,0.7306273136583744
Concrete,concrete,0.12,0.002,0.15,0,2,0.7124724703146532
Concrete,concrete,0.12,0.002,0.15,1,2,0.7624529674269422
Concrete,concrete,0.12,0.0017,0.15,0,1,0.7733310540160789
Concrete,concrete,0.12,0.0017,0.15,0,2,0.7265070710465522
Concrete,concrete,0.12,0.0017,0.15,1,2,0.7301464738375862
Concrete,concrete,0.12,0.0014,0.15,0,1,0.8727843771223243
Concrete,concrete,0.12,0.0014,0.15,0,2,0.7448834787153855
Concrete,concrete,0.12,0.0014,0.15,1,2,0.7807834702882522
Concrete,concrete,0.12,0.0012,0.15,0,1,0.7273935571503705
Concrete,concrete,0.12,0.0012,0.15,0,2,0.815529053314462
Concrete,concrete,0.12,0.0012,0.15,1,2,0.7998056490309292
Concrete,concrete,0.12,0.001,0.15,0,1,0.7567237711683464
Concrete,concrete,0.12,0.001,0.15,0,2,0.6054051177037689
Concrete,concrete,0.12,0.001,0.15,1,2,0.7139209279873286
L-Concrete,concrete,0.15,0.003,0.15,0,1,0.57305907896034
L-Concrete,concrete,0.15,0.003,0.15,0,2,0.5105406443541779
L-Concrete,concrete,0.15,0.003,0.15,1,2,0.5631576639610338
L-Concrete,concrete,0.15,0.0023,0.15,0,1,0.5801094011388201
